"prolific_id","subj","item_1","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_2","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_3","item_31","item_32","item_33","item_34","item_35","item_4","item_5","item_6","item_7","item_8","item_9","item_10"
"5d2f78f1512f3700174915ae",83,"3","1","1","2","1","1","1","1","0","0","1","2","2","3","3","0","1","2","1","3","1","3","2","0","0","0","0","0","0","3","1","2","2","0","3"
"5c488ea98e527100017f912f",84,"1","1","0","0","0","0","0","0","0","1","1","1","0","1","0","3","0","0","0","0","0","3","1","1","0","0","0","0","1","1","0","1","2","2","2"
"5eba5a3aa616f80119f6ef40",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ef5d41822b3c903597a9309",86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5bcda2ee6fd72000014996e4",87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e21ee581064960331e4bb9d",88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ddeaaf9f30aa6e2e945abba",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5e822b79ff3d72075c2b4c72",90,"2","2","1","2","1","2","3","2","2","2","2","2","2","1","1","2","1","2","2","2","2","2","2","2","2","1","2","1","1","1","2","2","2","1","2"
"5ea309c465c2882514368e71",91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ea8093530fe1e200917c979",92,"1","2","3","1","2","2","3","3","2","3","2","2","2","1","3","2","2","3","1","3","2","0","2","3","2","2","0","1","1","1","0","1","3","2","3"
"5efdfccc60768f0c2e9c2533",93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ee4e10ac0f3bc1ea6dd84c5",94,"1","1","3","1","3","0","3","3","1","2","0","3","2","0","3","1","3","3","2","3","3","0","1","3","1","2","1","1","1","3","1","3","3","3","3"
"5e2497cdcf46ff7132d7d46f",95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5eeb4c3bcf5da7254a215ec8",96,"3","3","2","3","2","2","1","1","2","2","1","3","0","3","3","1","1","1","3","2","2","1","1","2","2","1","0","3","1","1","2","1","3","3","2"
"5e5912f6ff7f7b121cf4e6b1",97,"1","2","1","1","1","1","2","1","2","1","1","3","2","2","2","1","1","2","1","1","1","2","2","2","1","1","1","2","1","1","0","1","3","3","3"
"5e7b358213539600083c0607",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ef3b9ad8ed4c613ca530d37",99,"2","2","2","2","2","1","1","2","1","1","1","2","2","1","1","1","1","2","1","3","2","3","3","1","1","1","1","2","2","3","3","1","3","2","3"
"5e2f53d9e0c1bf509bc6d305",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c437f6a4fe4f800016e3d52",101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ee0cf37e04e0a06c33e190b",102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c99fed960fab50001cbbae0",103,"0","3","2","1","0","1","2","3","2","1","1","2","1","2","2","2","1","1","2","0","1","1","0","1","1","1","1","2","2","1","0","1","3","0","1"
"5c7e7970efcd55000105a686",104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c3747496d465f00011a4d21",105,"1","3","3","2","2","2","2","1","1","2","3","0","2","2","3","1","2","3","2","3","3","1","1","3","2","2","2","1","2","3","1","1","3","3","3"
"5ef658dc548fce12fda46af8",106,"2","0","1","3","2","1","0","0","0","1","0","3","2","2","2","0","1","0","3","1","2","2","1","0","1","1","1","2","0","0","0","0","3","3","2"
"5e8218bd6c3f4492c10df21b",107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ed7757e3194fc200ec37c81",108,"3","0","2","1","2","3","3","3","2","1","3","3","1","2","3","1","3","3","3","3","1","1","1","2","0","1","1","1","1","1","3","1","3","3","3"
"5e504ea813fec6077ffacdfa",109,"1","2","3","1","1","1","2","3","2","1","1","2","2","1","3","2","2","2","1","2","3","3","0","2","2","2","0","2","1","1","2","0","3","3","2"
"5e3a6d8542db8f27459754bf",110,"1","1","2","1","1","1","2","1","0","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","0","1","0","0","1","2","1","1","1","2","2"
"5ef76508df1782049391ce3b",111,"2","1","2","2","2","1","2","1","0","1","0","0","1","0","3","0","1","1","2","0","2","1","1","1","1","0","0","1","1","1","0","1","3","1","2"
"5ec6f94e4d2c77133c310a1a",112,"1","2","1","1","2","2","2","2","1","2","1","2","2","1","2","2","2","1","1","2","2","2","1","2","1","1","1","2","1","1","2","1","2","1","2"
"5f0082e67535f20164d33b15",113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5efc692e89469100095acada",114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
